Neurospora crassa Imperfect Union Aspergillus flavus: 604
NEUCR00038: [(ASPFN08991,1025192)]
NEUCR07472: [(ASPFN09149,1042330)]
NEUCR07474: [(ASPFN04462,807623)]
NEUCR07476: [(ASPFN04463,1038692)]
NEUCR07478: [(ASPFN08969,943442)]
NEUCR07480: [(ASPFN01331,583824)]
NEUCR07491: [(ASPFN12000,812999)]
NEUCR07499: [(xASPFN09015,959592)]
NEUCR07501: [(ASPFN04725,235041)]
NEUCR07519: [(ASPFN11389,776914)]
NEUCR07522: [(xASPFN00589,791095)]
NEUCR07531: [(ASPFN12634,None)]
NEUCR07545: [(ASPFN12687,995272)]
